This list contains all games supported by FB Alpha.

2833 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| g_mk3e	| D	| Mortal Kombat 3 (E) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_mk3		| D	| Mortal Kombat 3 (U) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_mk2		| D	| Mortal Kombat II (W) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| mrdo		|  	| Mr. Do!						| 		| 1982	| Universal	| misc		| 					|
| mrdofix	|  	| Mr. Do! (bugfixed)					| mrdo		| 1982	| Universal (Tai| misc		| 					|
| mrdoy		|  	| Mr. Do! (prototype)					| mrdo		| 1982	| Universal	| misc		| 					|
| mrdot		|  	| Mr. Do! (Taito license)				| mrdo		| 1982	| Universal (Tai| misc		| 					|
| mrdu		|  	| Mr. Du!						| mrdo		| 1982	| Bootleg	| misc		| 					|
| mrlo		|  	| Mr. Lo!						| mrdo		| 1982	| Bootleg	| misc		| 					|
| g_nutz	| D	| Mr. Nutz (E) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| mrtnt		|  	| Mr. TNT						| 		| 1982	| Telko		| Pac-man	| 					|
| mspacman	|  	| MS Pacman						| 		| 1980	| Namco		| Pac-man	| 					|
| mspacmab	|  	| MS Pacman (bootleg)					| mspacman	| 1981	| Namco		| Pac-man	| 					|
| mspacmat	|  	| Ms. Pac Attack					| mspacman	| 1980	| hack		| Pac-man	| 					|
| mspacmbe	|  	| Ms. Pac-Man (bootleg, (encrypted))			| mspacman	| 1981	| bootleg	| Pac-man	| 					|
| g_mpac	| D	| Ms. Pac-Man (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| mspacmnf	|  	| Ms. Pac-Man (with speedup hack)			| mspacman	| 1980	| Midway	| Pac-man	| 					|
| mspacpls	|  	| Ms. Pac-Man Plus					| mspacman	| 1981	| hack		| Pac-man	| 					|
| mschamp	|  	| Ms. Pacman Champion Edition / Super Zola Pac Gal	| mspacman	| 1995	| hack		| Pac-man	| 					|
| rocktrv2	|  	| MTV Rock-N-Roll Trivia (Part 2)			| 		| 1986	| Triumph Softwa| Pac-man	| 					|
| g_mahbb	| D	| Muhammad Ali Heavyweight Boxing (Beta)		| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_mahbe	| D	| Muhammad Ali Heavyweight Boxing (E)			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_mahb	| D	| Muhammad Ali Heavyweight Boxing (U) [c][!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| semibase	|  	| MuHanSeungBu (SemiCom Baseball) (Korea)		| 		| 1997	| SemiCom	| Miscellaneous	| 					|
| mbomberj	|  	| Muscle Bomber - the body explosion (930713 Japan)	| slammast	| 1993	| Capcom	| CPS1		| 					|
| mbombrdj	|  	| Muscle Bomber Duo - heat up warriors (931206 Japan)	| slammast	| 1993	| Capcom	| CPS1		| 					|
| mbombrd	|  	| Muscle Bomber Duo - ultimate team battle (931206 etc)	| slammast	| 1993	| Capcom	| CPS1		| 					|
| g_mushaj	| D	| Musha Aleste - Full Metal Fighter Ellinor (J) [!]	| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_mutlfj	| D	| Mutant League Football (J) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_mlfoot	| D	| Mutant League Football (UE) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_muth	| D	| Mutant League Hockey (UE) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| mutnat	|  	| Mutation Nation					| 		| 1992	| SNK		| Neo Geo	| 					|
| mvpj		|  	| MVP (set 1, Japan, FD1094 317-0142)			| mvp		| 1989	| Sega		| System 16B	| 					|
| mvp		|  	| MVP (set 2, US, FD1094 317-0143)			| 		| 1989	| Sega		| System 16B	| 					|
| myhero	|  	| My Hero (US, not encrypted)				| 		| 1985	| Sega		| System 1	| 					|
| mystston	|  	| Mysterious Stones - Dr. John's Adventure		| 		| 1984	| Technos	| misc		| 					|
| myststno	|  	| Mysterious Stones - Dr. Kick in Adventure		| mystston	| 1984	| Technos	| misc		| 					|
| g_mysd00	| D	| Mystic Defender (W) (REV00) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_mysd	| D	| Mystic Defender (W) (REV01) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_mysf	| D	| Mystical Fighter (U) [c][!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| nam1975	|  	| NAM - 1975						| 		| 1990	| SNK		| Neo Geo	| 					|
| naname	| D	| Naname de Magic!					| 		| 1994	| Atlus		| Miscellaneous	| 					|
| nmouse	|  	| Naughty Mouse (set 1)					| 		| 1981	| Amenip (Palcom| Pac-man	| 					|
| nmouseb	|  	| Naughty Mouse (set 2)					| nmouse	| 1981	| Amenip Nova Ga| Pac-man	| 					|
| g_na95	| D	| NBA Action '95 (UE) [!]				| 		| 1900	| Sega Sports	| Megadrive	| 					|
| g_nact	| D	| NBA Action (U) [!]					| 		| 1994	| Sega Sports	| Megadrive	| 					|
| g_nasc	| D	| NBA All-Star Challenge (UE) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nbahte	| D	| NBA Hang Time (E) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nbah	| D	| NBA Hang Time (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nbajj	| D	| NBA Jam (J) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nbaj00	| D	| NBA Jam (UE) (REV00) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_njam	| D	| NBA Jam (UE) (REV01) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nbajt0	| D	| NBA Jam Tournament Edition (W) (REV00) [!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_njte	| D	| NBA Jam Tournament Edition (W) (REV01) [!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nl95	| D	| NBA Live 95 (UE) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nl96	| D	| NBA Live 96 (UE) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nl97	| D	| NBA Live 97 (UE) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nl98	| D	| NBA Live 98 (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_npbb	| D	| NBA Playoff - Bulls vs Blazers (J) [!]		| 		| 1993	| Electronic Art| Megadrive	| 					|
| g_npbl	| D	| NBA Pro Basketball - Bulls vs Lakers (J) [!]		| 		| 1993	| Electronic Art| Megadrive	| 					|
| g_nba9	| D	| NBA Showdown 94 (Beta)				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nba94b	| D	| NBA Showdown 94 (Beta)				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nbs9	| D	| NBA Showdown 94 (UE) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nccf	| D	| NCAA College Football (U) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_ncff	| D	| NCAA Final Four College Basketball (U) [!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| nemoj		|  	| Nemo (90 11 20 Japan)					| nemo		| 1990	| Capcom	| CPS1		| 					|
| nemo		|  	| Nemo (90 11 30 etc)					| 		| 1990	| Capcom	| CPS1		| 					|
| neobombe	|  	| Neo Bomberman						| 		| 1997	| Hudson Soft	| Neo Geo	| 					|
| neodrift	|  	| Neo Drift Out - new technology			| 		| 1996	| Visco		| Neo Geo	| 					|
| neogeo	|   NW	| Neo Geo						| 		| 1990	| SNK		| Neo Geo	| BIOS only				|
| neomrdo	|  	| Neo Mr. Do!						| 		| 1996	| Visco		| Neo Geo	| 					|
| turfmast	|  	| Neo Turf Masters\0Big Tournament Golf			| 		| 1996	| Nazca		| Neo Geo	| 					|
| neocup98	|  	| Neo-Geo Cup '98 - the road to the victory		| 		| 1998	| SNK		| Neo Geo	| 					|
| g_new3dg	| D	| New 3D Golf Simulation Harukanaru Augusta (J) [!]	| 		| 1900	| Unsorted	| Megadrive	| 					|
| newfant	|  	| New Fantasia						| 		| 1995	| Comad / New Ja| Miscellaneous	| 					|
| newpuckx	|  	| New Puck-X						| puckman	| 1980	| hack		| Pac-man	| 					|
| g_tnzs	| D	| New Zealand Stor					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nhir	| D	| Newman-Haas IndyCar Racing (W) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| newpuc2	|  	| Newpuc2						| puckman	| 1980	| hack		| Pac-man	| 					|
| newpuc2b	|  	| Newpuc2b						| puckman	| 1980	| hack		| Pac-man	| 					|
| news		|  	| News (set 1)						| 		| 1993	| Poby / Virus	| Miscellaneous	| 					|
| newsa		|  	| News (set 2)						| news		| 1993	| Poby / Jeansol| Miscellaneous	| 					|
| g_nfl5	| D	| NFL '95 (U) [!]					| 		| 1994	| Sega Sports	| Megadrive	| 					|
| g_nfl8	| D	| NFL 98 (U) [!]					| 		| 1997	| Sega Sports	| Megadrive	| 					|
| g_nfl94j	| D	| NFL Football '94 Starring Joe Montana (J) [!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nfl4	| D	| NFL Football '94 Starring Joe Montana (U) [!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nfpt	| D	| NFL Prime Time (U) [!]				| 		| 1995	| Sega Sports	| Megadrive	| 					|
| g_nqc		| D	| NFL Quarterback Club 96 (UE) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nqc6	| D	| NFL Quarterback Club 96 (UE) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nh94	| D	| NHL 94 (UE) [!]					| 		| 1900	| Electronic Art| Megadrive	| 					|
| g_nh95	| D	| NHL 95 (UE) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nh9e	| D	| NHL 95 Elitserien (E) [c][!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nh96	| D	| NHL 96 (UE) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nhl96e	| D	| NHL 96 Elitserien (E)					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nh97	| D	| NHL 97 (UE) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nh98	| D	| NHL 98 (U) [c][!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nash	| D	| NHL All-Star Hockey '95 (U) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nhlh	|  	| NHL Hockey (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nhlp00	| D	| NHLPA Hockey '93 (UE) (REV00)				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nhlp	| D	| NHLPA Hockey '93 (UE) (REV01) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nigwce	| D	| Nigel Mansell's World Championship (E)		| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nigel	| D	| Nigel Mansell's World Championship (U) [!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| nightstr	|  	| Night Striker (US)					| 		| 1989	| Taito America | Taito-Z	| 					|
| nwarr		|  	| Night Warriors - darkstalkers' revenge (950316 Euro)	| 		| 1995	| Capcom	| CPS2		| 					|
| nwarrb	|  	| Night Warriors - darkstalkers' revenge (950403 Brazil)| nwarr		| 1995	| Capcom	| CPS2		| 					|
| nwarrh	|  	| Night Warriors - darkstalkers' revenge (950403 Hispani| nwarr		| 1995	| Capcom	| CPS2		| 					|
| nwarru	|  	| Night Warriors - darkstalkers' revenge (950406 USA)	| nwarr		| 1995	| Capcom	| CPS2		| 					|
| g_ncir	| D	| Nightmare Circus (B) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_ncircb	| D	| Nightmare Circus (Beta)				| 		| 1900	| Unsorted	| Megadrive	| 					|
| nitd		|  	| Nightmare in the Dark					| 		| 2000	| Eleven / Gavak| Neo Geo	| 					|
| nitdbl	|  	| Nightmare in the Dark (bootleg)			| nitd		| 2000	| bootleg	| Neo Geo	| 					|
| g_nikkan	| D	| Nikkan Sports Pro Yakyuu Van (J) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_nbd		| D	| Ninja Burai Densetsu (J) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| ncombat	|  	| Ninja Combat (set 1)					| 		| 1990	| Alpha Denshi C| Neo Geo	| 					|
| ncombath	|  	| Ninja Combat (set 2)					| ncombat	| 1990	| Alpha Denshi C| Neo Geo	| 					|
| ncommand	|  	| Ninja Commando					| 		| 1992	| Alpha Denshi C| Neo Geo	| 					|
| g_ngaidb	| D	| Ninja Gaiden (Beta)					| 		| 1900	| Unsorted	| Megadrive	| 					|
| ninjamas	|  	| Ninja Master's haoh ninpo cho				| 		| 1996	| ADK / SNK	| Neo Geo	| 					|
| nprincsu	|  	| Ninja Princess (64k Ver. not encrypted)		| seganinj	| 1985	| Sega		| System 1	| 					|
| g_noes	| D	| No Escape (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| noboranb	|  	| Noboranka (Japan)					| 		| 1986	| bootleg	| System 1	| 					|
| g_nobbus	| D	| Nobunaga no Yabou - Bushou Fuuunsoku (J) [!]		| 		| 1900	| Koei		| Megadrive	| 					|
| g_nobzen	| D	| Nobunaga no Yabou - Zenkokuban (J) [!]		| 		| 1900	| Koei		| Megadrive	| 					|
| g_noblor	| D	| Nobunaga no Yabou Haouden - Lord of Darkness (J) [!]	| 		| 1900	| Koei		| Megadrive	| 					|
| g_nobu	| D	| Nobunaga's Ambition (U) [!]				| 		| 1900	| Koei		| Megadrive	| 					|
| g_norm	| D	| Normy's Beach Babe-O-Rama (UE) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| ohmygod	|  	| Oh My God!						| 		| 1993	| Atlus		| Miscellaneous	| 					|
| g_olgole	| D	| Olympic Gold - Barcelona 92 (E) (M8) [c][!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_olgolj	| D	| Olympic Gold - Barcelona 92 (J) (M8) [c][!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_olgolu	| D	| Olympic Gold - Barcelona 92 (U) (M8) [a1][c][!]	| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_ogol	| D	| Olympic Gold - Barcelona 92 (U) (M8) [c][!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_olsg	| D	| Olympic Summer Games Atlanta 96 (UE) [!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_olwge	| D	| Olympic Winter Games - Lillehammer 94 (E) [c][!]	| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_olwgj	| D	| Olympic Winter Games - Lillehammer 94 (J) [c][!]	| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_olwg	| D	| Olympic Winter Games - Lillehammer 94 (U) [c][!]	| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_onsl	| D	| Onslaught (U) [c][!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_oozee	| D	| Ooz							| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_ooze	| D	| Ooz							| 		| 1900	| Unsorted	| Megadrive	| 					|
| opwolfb	|  	| Operation Bear (bootleg)				| opwolf	| 1987	| Bear		| Custom Taito	| 					|
| g_opeu	| D	| Operation Europe - Path to Victory 1939-1945 (U) [!]	| 		| 1900	| Koei		| Megadrive	| 					|
| ragnagrd	|  	| Operation Ragnagard\0Shin-Oh-Ken			| 		| 1996	| Saurus	| Neo Geo	| 					|
| opwolfu	| D NW	| Operation Wolf (US)					| opwolf	| 1987	| Taito		| Custom Taito	| Protection C-Chip not emulated	|
| orld105k	|  	| Oriental Legend (V105, Korean Board)			| orlegend	| 1997	| IGS		| PGM		| 					|
| orld111c	|  	| Oriental Legend - Xi Yo Gi Shi Re Zuang (V111, Chinese| orlegend	| 1997	| IGS		| PGM		| 					|
| orlegnde	|  	| Oriental Legend - Xi Yo Gi Shi Re Zuang (V112)	| orlegend	| 1997	| IGS		| PGM		| 					|
| orlegndc	|  	| Oriental Legend - Xi Yo Gi Shi Re Zuang (V112, Chinese| orlegend	| 1997	| IGS		| PGM		| 					|
| orlegend	|  	| Oriental Legend - Xi Yo Gi Shi Re Zuang (V126)	| 		| 1997	| IGS		| PGM		| 					|
| olds		| D NW	| Oriental Legend Special (V101, Korea)			| 		| 1999	| IGS		| PGM		| 					|
| olds100a	| D NW	| Oriental Legend Special - Xi Yo Gi Shi Re Zuang Super | olds		| 1999	| IGS		| PGM		| 					|
| olds100	| D NW	| Oriental Legend Special - Xi Yo Gi Shi Re Zuang Super | olds		| 1999	| IGS		| PGM		| 					|
| g_osom	| D	| Osomatsu-kun - Hachamecha Gekijou (J) [c][!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_otti	| D	| Ottifant						| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_ottifb	| D	| Ottifant						| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_ootwb	|  	| Out of this World (Beta)				| g_ootw	| 1992	| Delphine / Vir| Megadrive	| 					|
| g_ootw	|  	| Out of this World (U) [!]				| 		| 1992	| Delphine / Vir| Megadrive	| 					|
| outrunb	|  	| Out Run (bootleg)					| outrun	| 1986	| bootleg	| Out Run	| 					|
| outrun1	|  	| Out Run (deluxe sitdown)				| outrun	| 1986	| Sega		| Out Run	| 					|
| outrun2	|  	| Out Run (sitdown/upright, Rev A)			| outrun	| 1986	| Sega		| Out Run	| 					|
| outrun	|  	| Out Run (sitdown/upright, Rev B)			| 		| 1986	| Sega		| Out Run	| 					|
| outzone	|  	| Out Zone (set 1)					| 		| 1990	| Toaplan	| Toaplan BCU-2 | 					|
| outzonea	|  	| Out Zone (set 2)					| outzone	| 1990	| Toaplan	| Toaplan BCU-2 | 					|
| outzoneb	|  	| Out Zone (set 3, prototype?)				| outzone	| 1990	| Toaplan	| Toaplan BCU-2 | 					|
| outzonec	|  	| Out Zone (set 4)					| outzone	| 1990	| Toaplan	| Toaplan BCU-2 | 					|
| g_outlnb	| D	| Outlander (Beta)					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_olan	| D	| Outlander (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_orunj	| D	| OutRun (J) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_2019b	| D	| OutRun 2019 (Beta)					| g_or20	| 1993	| Sims		| Megadrive	| 					|
| g_2019e	| D	| OutRun 2019 (E) [!]					| g_or20	| 1993	| Sims		| Megadrive	| 					|
| g_2019j	| D	| OutRun 2019 (J) [!]					| g_or20	| 1993	| Sims		| Megadrive	| 					|
| g_or20	| D	| OutRun 2019 (U) [!]					| 		| 1993	| Sims		| Megadrive	| 					|
| g_orun	| D	| OutRunners (J) [!]					| 		| 199?	| Sega		| Megadrive	| 					|
| g_orunrj	| D	| OutRunners (J) [!]					| 		| 199?	| Sega		| Megadrive	| 					|
| g_orur	| D	| OutRunners (U) [!]					| 		| 199?	| Sega / Data Ea| Megadrive	| 					|
| overtop	|  	| OverTop						| 		| 1996	| ADK		| Neo Geo	| 					|
| g_pto		| D	| P.T.O. Pacific Theater of Operations (U) [!]		| 		| 1900	| Koei		| Megadrive	| 					|
| g_paca	| D	| Pac-Attack (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| pacgal	|  	| Pac-Gal						| mspacman	| 1981	| hack		| Pac-man	| 					|
| pacheart	|  	| Pac-Man (Hearts)					| puckman	| 1981	| hack		| Pac-man	| 					|
| pacman	|  	| Pac-Man (Midway)					| puckman	| 1980	| [Namco] (Midwa| Pac-man	| 					|
| pacmod	|  	| Pac-Man (Midway, harder)				| puckman	| 1981	| [Namco] (Midwa| Pac-man	| 					|
| pacmanf	|  	| Pac-Man (Midway, with speedup hack)			| puckman	| 1980	| [Namco] (Midwa| Pac-man	| 					|
| g_pac2	| D	| Pac-Man 2 - The New Adventures (U) [!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| pacplus	|  	| Pac-Man Plus						| 		| 1982	| [Namco] (Midwa| Pac-man	| 					|
| g_pacm	| D	| Pac-Mania (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_pachin	| D	| Pachinko Canyon (J) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| paddle2	|  	| Paddle 2 (bootleg on Block hardware)			| arkanoid	| 1986	| bootleg	| Arkanoid	| 					|
| g_padfi	| D	| Paddle Fighter (SN) (J) [!]				| 		| 1994	| Sega		| Megadrive	| 					|
| g_pageme	| D	| Pagemaste						| 		| 1994	| Probe		| Megadrive	| 					|
| g_pagemb	| D	| Pagemaste						| 		| 1994	| Probe		| Megadrive	| 					|
| g_page	| D	| Pagemaste						| 		| 1994	| Probe		| Megadrive	| 					|
| paintrlr	| D	| Paint Roller						| crush		| 1981	| bootleg	| Pac-man	| 					|
| pangpang	|  	| Pang Pang						| 		| 1994	| Dong Gue La Mi| Miscellaneous	| 					|
| pang3		|  	| Pang! 3 (950511 Euro)					| 		| 1995	| Mitchell	| CPS1		| 					|
| pang3j	|  	| Pang! 3 (950511 Japan)				| pang3		| 1995	| Mitchell	| CPS1		| 					|
| panicbom	|  	| Panic Bomber						| 		| 1994	| Hudson Soft	| Neo Geo	| 					|
| g_pano	| D	| Panorama Cotton (J) [c][!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_pboyj	| D	| Paperboy (J) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_papb	| D	| Paperboy (UE) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_pap2	| D	| Paperboy II (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| passshtb	| D	| Passing Shot (bootleg, 2 Players)			| passsht	| 1988	| Sega		| System 16B	| 					|
| passshtj	|  	| Passing Shot (Japan, 4 Players, FD1094 317-0070)	| passsht	| 1988	| Sega		| System 16B	| 					|
| pshot16a	|  	| Passing Shot (Japan, 4 Players, System 16A, FD1094 317| passsht	| 1988	| Sega		| System 16A	| 					|
| passsht	|  	| Passing Shot (World, 2 Players, FD1094 317-0080)	| 		| 1988	| Sega		| System 16B	| 					|
| passshta	|  	| Passing Shot (World, 4 Players, FD1094 317-0074)	| passsht	| 1988	| Sega		| System 16B	| 					|
| g_patb	| D	| Pat Riley Basketball (U) [!]				| 		| 1990	| Sega		| Megadrive	| 					|
| g_patlab	| D	| Patlabor (J) [c][!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_pblbee	| D	| Pebble Beach Golf Links (E)				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_pbgl	| D	| Pebble Beach Golf Links (U) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_pblbej	| D	| Pebble Beach no Hatou (J) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_pele	| D	| Pele! (UE) [!]					| 		| 1900	| Accolate	| Megadrive	| 					|
| g_pelw	| D	| Pele's World Tournament Soccer (UE) [!]		| 		| 1900	| Sport Accolate| Megadrive	| 					|
| g_peng	| D	| Pengo (J) [!]						| 		| 1900	| Unsorted	| Megadrive	| 					|
| penbros	|  	| Penguin Brothers (Japan)				| 		| 2000	| Subsino	| Newer Seta	| 					|
| pkunwarj	|  	| Penguin-Kun Wars (Japan)				| pkunwar	| 1985	| UPL		| misc		| 					|
| pkunwar	|  	| Penguin-Kun Wars (US)					| 		| 1985	| UPL		| misc		| 					|
| g_pste03	| D	| Pete Sampras Tennis (E) (REV03) (J-Cart) [!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_ps96	| D	| Pete Sampras Tennis 96 (E) [c][!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_pgae	| D	| PGA European Tour (UE) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_pg96	| D	| PGA Tour 96 (UE) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_pgat01	| D	| PGA Tour Golf (UE) (REV01) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_pga		| D	| PGA Tour Golf (UE) (REV02) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_pga2j	| D	| PGA Tour Golf II (J) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_pga200	| D	| PGA Tour Golf II (UE) (REV00) [c][!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_pga2	| D	| PGA Tour Golf II (UE) (REV01) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_pga3	| D	| PGA Tour Golf III (UE) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| pgm		|   NW	| PGM (Polygame Master) System BIOS			| 		| 1997	| IGS		| PGM		| BIOS only				|
| g_pstr4j	| D	| Phantasy Star - The End of the Millenium (J) [!]	| 		| 1994	| Sega		| Megadrive	| 					|
| g_pst4	| D	| Phantasy Star - The End of the Millenium (U) [!]	| 		| 1994	| Sega		| Megadrive	| 					|
| g_phst2b	| D	| Phantasy Star II (B) (REV01) [!]			| 		| 1989	| Sega		| Megadrive	| 					|
| g_pstr2j	| D	| Phantasy Star II (J) [!]				| 		| 1989	| Sega		| Megadrive	| 					|
| g_pst201	| D	| Phantasy Star II (UE) (REV01)				| 		| 1989	| Sega		| Megadrive	| 					|
| g_pst		| D	| Phantasy Star II (UE) (REV02) [!]			| 		| 1989	| Sega		| Megadrive	| 					|
| g_pst2	| D	| Phantasy Star II (UE) (REV02) [!]			| 		| 1989	| Sega		| Megadrive	| 					|
| g_p2anne	| D	| Phantasy Star II - Anne's Adventure (SN) (J) [!]	| 		| 1994	| Sega		| Megadrive	| 					|
| g_p2huey	| D	| Phantasy Star II - Huey's Adventure (SN) (J) [!]	| 		| 1994	| Sega		| Megadrive	| 					|
| g_p2kind	| D	| Phantasy Star II - Kinds's Adventure (SN) (J) [!]	| 		| 1994	| Sega		| Megadrive	| 					|
| g_p2shil	| D	| Phantasy Star II - Shilka's Adventure (SN) (J) [!]	| 		| 1994	| Sega		| Megadrive	| 					|
| g_phst3b	| D	| Phantasy Star III - Generations of Doom (B) [!]	| 		| 1991	| Sega		| Megadrive	| 					|
| g_pst3	| D	| Phantasy Star III - Generations of Doom (UE) [!]	| 		| 1991	| Sega		| Megadrive	| 					|
| g_pstr3j	| D	| Phantasy Star III - Toki no Keishousha (J) [!]	| 		| 1991	| Sega		| Megadrive	| 					|
| g_2040e	| D	| Phantom 2040 (E) [!]					| g_2040	| 1900	| Unsorted	| Megadrive	| No sound				|
| g_2040	| D	| Phantom 2040 (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| No sound				|
| g_phelie	| D	| Phelios (E) [c][!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_phelij	| D	| Phelios (J) [c][!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_phel	| D	| Phelios (U) [c][!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| photoy2k	|  	| Photo Y2K\0Real and Fake (V104)			| 		| 1999	| IGS		| PGM		| 					|
| g_pinkb	| D	| Pink Goes to Hollywood (Beta)				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_pink	| D	| Pink Goes to Hollywood (U) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_pinnoe	| D	| Pinocchio (E)						| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_pino	| D	| Pinocchio (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
