This list contains all games supported by FB Alpha.

2833 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| g_acr2	| D	| Aero the Acro-Bat 2 (U) [!]				| 		| 1994	| Sunsoft / Igua| Megadrive	| No sound				|
| g_aero	|  	| Aerobiz (U) [!]					| 		| 199?	| Koei		| Megadrive	| 					|
| aburner	|  	| After Burner (Japan)					| aburner2	| 1987	| Sega		| X-Board	| 					|
| aburner2	|  	| After Burner II					| 		| 1987	| Sega		| X-Board	| 					|
| g_abrn2j	| D	| After Burner II (J) [!]				| g_abu2	| 1900	| Unsorted	| Megadrive	| No sound				|
| g_abu2	| D	| After Burner II (UE) [!]				| 		| 1900	| Unsorted	| Megadrive	| Bad sound				|
| aodk		|  	| Aggressors of Dark Kombat\0Tsuukai GANGAN Koushinkyoku| 		| 1994	| ADK / SNK	| Neo Geo	| 					|
| g_abus	|  	| Air Buster (U) [c][!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_adivej	| D NW	| Air Diver (J) [!]					| g_adiv	| 1900	| Unsorted	| Megadrive	| 					|
| g_adiv	|  	| Air Diver (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| agallet	|  	| Air Gallet						| 		| 1996	| BanPresto / Ga| Cave		| 					|
| g_airm	|  	| Air Management - Oozora ni Kakeru (J) [c][!]		| g_aero	| 199?	| Koei		| Megadrive	| 					|
| g_airm2	|  	| Air Management II - Kouku Ou wo Mezase (J) [!]	| g_abz2	| 1994	| Koei		| Megadrive	| 					|
| airwolf	|  	| Airwolf						| 		| 1987	| Kyugo		| Kyugo		| 					|
| airwolfa	|  	| Airwolf (US)						| airwolf	| 1987	| Kyugo (UA Thea| Kyugo		| 					|
| g_alexkk	| D	| Alex Kidd - Cheongongmaseong (K) [!]			| g_alex	| 1989	| Sega		| Megadrive	| No sound				|
| g_alxkeb	| D NW	| Alex Kidd in the Enchanted Castle (E) (MD Bundle) [!]	| g_alex	| 1989	| Sega		| Megadrive	| 					|
| g_alexke	| D NW	| Alex Kidd in the Enchanted Castle (E) [!]		| g_alex	| 1989	| Sega		| Megadrive	| 					|
| g_alexkj	| D NW	| Alex Kidd in the Enchanted Castle (J) [!]		| g_alex	| 1989	| Sega		| Megadrive	| 					|
| alexkid1	|  	| Alex Kidd: The Lost Stars (set 1, FD1089A 317-unknown)| alexkidd	| 1986	| Sega		| System 16A	| 					|
| alexkidd	|  	| Alex Kidd: The Lost Stars (set 2, unprotected)	| 		| 1986	| Sega		| System 16A	| 					|
| alibaba	|  	| Ali Baba and 40 Thieves				| 		| 1982	| Sega		| Pac-man	| 					|
| g_ali300	|  	| Alien 3 (UE) (REV00) [!]				| g_ali3	| 1900	| Unsorted	| Megadrive	| 					|
| g_ali3	|  	| Alien 3 (UE) (REV01) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_asolde	| D NW	| Alien Soldier (E) [!]					| g_asol	| 1900	| Unsorted	| Megadrive	| 					|
| g_asol	|  	| Alien Soldier (J) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| astormj	|  	| Alien Storm (set 1, Japan, 2 Players, FD1094 317-0146)| astorm	| 1990	| Sega		| System 18	| Incomplete Sound			|
| astormu	|  	| Alien Storm (set 2, US, 3 Players, FD1094 317-0147)	| astorm	| 1990	| Sega		| System 18	| Incomplete Sound			|
| astorm3	|  	| Alien Storm (set 3, World, 3 Players, FD1094 317-0148)| astorm	| 1990	| Sega		| System 18	| Incomplete Sound			|
| g_asto	| D	| Alien Storm (W) [!]					| 		| 1900	| Unsorted	| Megadrive	| No sound				|
| aliensy1	|  	| Alien Syndrome (set 1, System 16A, FD1089A 317-0033)	| aliensyn	| 1987	| Sega		| System 16A	| 					|
| aliensy2	|  	| Alien Syndrome (set 2, System 16A, FD1089A 317-0033)	| aliensyn	| 1987	| Sega		| System 16A	| 					|
| aliensy3	|  	| Alien Syndrome (set 3, System 16B, FD1089A 317-0033)	| aliensyn	| 1987	| Sega		| System 16B	| 					|
| aliensyn	|  	| Alien Syndrome (set 4, System 16B, unprotected)	| 		| 1987	| Sega		| System 16B	| 					|
| aliensy5	|  	| Alien Syndrome (set 5, System 16A, FD1089B 317-0037)	| aliensyn	| 1987	| Sega		| System 16A	| 					|
| avspa		|  	| Alien vs Predator (940520 Asia)			| avsp		| 1994	| Capcom	| CPS2		| 					|
| avsp		|  	| Alien vs Predator (940520 Euro)			| 		| 1994	| Capcom	| CPS2		| 					|
| avsph		|  	| Alien vs Predator (940520 Hispanic)			| avsp		| 1994	| Capcom	| CPS2		| 					|
| avspj		|  	| Alien vs Predator (940520 Japan)			| avsp		| 1994	| Capcom	| CPS2		| 					|
| avspu		|  	| Alien vs Predator (940520 USA)			| avsp		| 1994	| Capcom	| CPS2		| 					|
| g_alisie	| D	| Alisia Dragoon (E) [!]				| g_alis	| 1900	| Unsorted	| Megadrive	| Bad sound				|
| g_alisij	| D	| Alisia Dragoon (J) [!]				| g_alis	| 1900	| Unsorted	| Megadrive	| Bad sound				|
| g_alis	| D	| Alisia Dragoon (U) [!]				| 		| 1900	| Unsorted	| Megadrive	| Bad sound				|
| alpham2	|  	| Alpha Mission II\0ASO II - last guardian		| 		| 1991	| SNK		| Neo Geo	| 					|
| altbeas2	|  	| Altered Beast (set 2, MC-8123B 317-0066)		| altbeast	| 1988	| Sega		| System 16B	| 					|
| altbeas4	|  	| Altered Beast (set 4, MC-8123B 317-0066)		| altbeast	| 1988	| Sega		| System 16B	| 					|
| altbeas5	|  	| Altered Beast (set 5, 8751 317-0076)			| altbeast	| 1988	| Sega		| System 16B	| 					|
| altbeast	|  	| Altered Beast (set 7, 8751 317-0078)			| 		| 1988	| Sega		| System 16B	| 					|
| ambush	|  	| Ambush						| 		| 1983	| Nippon Amuse C| Ambush	| 					|
| ambusht	|  	| Ambush (Tecfri)					| ambush	| 1983	| Tecfri	| Ambush	| 					|
| ambushv	|  	| Ambush (Volt Elec co-ltd)				| ambush	| 1983	| Volt Elec co-l| Ambush	| 					|
| g_aateb	| D	| Andre Agassi Tennis (Beta)				| g_aate	| 1900	| Unsorted	| Megadrive	| No sound				|
| g_aatee	| D	| Andre Agassi Tennis (E) (REV01) [c][!]		| g_aate	| 1900	| Unsorted	| Megadrive	| No sound				|
| g_aate	| D	| Andre Agassi Tennis (U) (REV00) [!]			| 		| 1900	| Unsorted	| Megadrive	| No sound				|
